epoch,train_loss,val_loss,val_iou_talc,val_iou_not_talc,val_pixel_acc,seconds
1,0.492522,0.385967,0.570111,0.787002,0.833916,5.38
2,0.420884,0.386455,0.514468,0.785854,0.825459,4.78
3,0.38876,0.315905,0.622607,0.819002,0.860621,4.47
4,0.364402,0.321591,0.604331,0.821914,0.859996,5.02
5,0.366338,0.341008,0.596117,0.789725,0.839529,4.48
6,0.342427,0.333885,0.591773,0.8104,0.851276,4.61
7,0.329644,0.33605,0.603831,0.802175,0.848005,4.76
8,0.319966,0.360704,0.530747,0.802198,0.83836,4.94
9,0.334935,0.34508,0.580506,0.780123,0.831418,4.55
10,0.31509,0.349551,0.608801,0.778636,0.835356,4.53
11,0.291989,0.34743,0.581617,0.800963,0.844099,4.49
12,0.279668,0.330083,0.622957,0.810732,0.855819,4.48
13,0.276748,0.498202,0.457214,0.78731,0.819626,4.48
14,0.273001,0.339928,0.628005,0.793348,0.846797,4.61
15,0.248539,0.491478,0.557866,0.67113,0.767576,4.91
16,0.259171,0.400497,0.571314,0.768808,0.823263,4.66
17,0.239404,0.414459,0.519193,0.792312,0.830357,4.56
18,0.245422,0.43801,0.559998,0.742288,0.805939,4.69
19,0.238388,0.360718,0.627519,0.792652,0.846331,4.97
20,0.237419,0.335898,0.630514,0.796151,0.848761,5.12
